name,year,citationcount,affiliation,paperID
Thomas Ertl,2003,159,university of stuttgart,53e9a2c1b7602d9702bcbf02
Scott Carter,2007,147,"FX Palo Alto Laboratory, Inc., Palo Alto, CA",53e9a2ceb7602d9702bd7092
Jennifer Mankoff,2007,147,"Carnegie Mellon University, Pittsburgh, PA",53e9a2ceb7602d9702bd7092
Jeffrey Heer,2007,147,"University of California, Berkeley, Berkeley, CA",53e9a2ceb7602d9702bd7092
Christian Rohrdantz,2011,69,University of Konstanz,53e9a2ceb7602d9702bd7452
Annette Hautli,2011,69,University of Konstanz,53e9a2ceb7602d9702bd7452
Thomas Mayer,2011,69,University of Konstanz,53e9a2ceb7602d9702bd7452
Miriam Butt,2011,69,University of Konstanz,53e9a2ceb7602d9702bd7452
Daniel A. Keim,2011,69,University of Konstanz,53e9a2ceb7602d9702bd7452
Frans Plank,2011,69,University of Konstanz,53e9a2ceb7602d9702bd7452
Andreas Hub,2006,56,"University of Stuttgart, Universitätsstraβe, Stuttgart, Germany",53e9a2f3b7602d9702bfc219
Tim Hartter,2006,56,"University of Stuttgart, Universitätsstraβe, Stuttgart, Germany",53e9a2f3b7602d9702bfc219
Thomas Ertl,2006,56,"University of Stuttgart, Universitätsstraβe, Stuttgart, Germany",53e9a2f3b7602d9702bfc219
Ming C. Hao,2005,80,"Hewlett-Packard Laboratories, Palo Alto",53e9a2fab7602d9702c02e0a
Umeshwar Dayal,2005,80,"Hewlett-Packard Laboratories, Palo Alto",53e9a2fab7602d9702c02e0a
Daniel A. Keim,2005,80,"University of Konstanz, Germany",53e9a2fab7602d9702c02e0a
Tobias Schreck,2005,80,"University of Konstanz, Germany",53e9a2fab7602d9702c02e0a
Ming C. Hao,2012,50,"HP Labs, Palo Alto, CA",53e9a301b7602d9702c0e87c
Manish Marwah,2012,50,"HP Labs, Palo Alto, CA",53e9a301b7602d9702c0e87c
Halldór Janetzko,2012,50,"University of Konstanz, Konstanz, Germany",53e9a301b7602d9702c0e87c
Umeshwar Dayal,2012,50,"HP Labs, Palo Alto, CA",53e9a301b7602d9702c0e87c
Daniel A. Keim,2012,50,"University of Konstanz, Konstanz, Germany",53e9a301b7602d9702c0e87c
Debprakash Patnaik,2012,50,Virginia Tech.,53e9a301b7602d9702c0e87c
Naren Ramakrishnan,2012,50,Virginia Tech.,53e9a301b7602d9702c0e87c
Ratnesh K. Sharma,2012,50,"NEC Laboratories America, Inc.",53e9a301b7602d9702c0e87c
Ming C. Hao,2010,16,"Hewlett Packard Labs, Palo Alto, CA USA",53e9a310b7602d9702c1bfc5
Ratnesh K. Sharma,2010,16,"Hewlett Packard Labs, Palo Alto, CA USA",53e9a310b7602d9702c1bfc5
Daniel A. Keim,2010,16,"Univ Konstanz, Dept Comp & Informat Sci, D-7750 Constance, Germany",53e9a310b7602d9702c1bfc5
Umeshwar Dayal,2010,16,"Hewlett Packard Labs, Palo Alto, CA USA",53e9a310b7602d9702c1bfc5
Chandrakant D. Patel,2010,16,"Hewlett Packard Labs, Palo Alto, CA USA",53e9a310b7602d9702c1bfc5
Ravigopal Vennelakanti,2010,16,"Hewlett Packard Labs, Palo Alto, CA USA",53e9a310b7602d9702c1bfc5
Friedmann Rösler,2006,72,,53e9a310b7602d9702c1c2dd
Eduardo Tejada,2006,72,,53e9a310b7602d9702c1c2dd
Thomas Fangmeier,2006,72,,53e9a310b7602d9702c1c2dd
Thomas Ertl,2006,72,,53e9a310b7602d9702c1c2dd
Markus Knauff,2006,72,,53e9a310b7602d9702c1c2dd
Martin Falk,2009,30,"VISUS - Visualization Research Center, Universität Stuttgart, Germany",53e9a335b7602d9702c3c625
Michael Klann,2009,30,"Institute of Biochemical Engineering and Center Systems Biology, Universität Stuttgart, Germany",53e9a335b7602d9702c3c625
Matthias Reuss,2009,30,"Institute of Biochemical Engineering and Center Systems Biology, Universität Stuttgart, Germany",53e9a335b7602d9702c3c625
Thomas Ertl,2009,30,"VISUS - Visualization Research Center, Universität Stuttgart, Germany",53e9a335b7602d9702c3c625
Ming C. Hao,2011,94,hewlett packard,53e9a343b7602d9702c4c801
Christian Rohrdantz,2011,94,hewlett packard,53e9a343b7602d9702c4c801
Halldor Janetzko,2011,94,hewlett packard,53e9a343b7602d9702c4c801
Umeshwar Dayal,2011,94,hewlett packard,53e9a343b7602d9702c4c801
Daniel A. Keim,2011,94,hewlett packard,53e9a343b7602d9702c4c801
Lars-Erik Haug,2011,94,university of konstanz,53e9a343b7602d9702c4c801
Meichun Hsu,2011,94,university of konstanz,53e9a343b7602d9702c4c801
Ji Soo Yi,2007,1149,"Health Systems Institute & H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology",53e9a34ab7602d9702c547e5
Youn ah Kang,2007,1149,"School of Interactive Computing & GVU Center, Georgia Institute of Technology",53e9a34ab7602d9702c547e5
John T. Stasko,2007,1149,IEEE,53e9a34ab7602d9702c547e5
Julie A. Jacko,2007,1149,"Health Systems Institute, The Wallace H. CoulterDepartment of Biomedical Engineering, & College of Computing, GeorgiaInstitute of Technology & Emory University",53e9a34ab7602d9702c547e5
Peter Hastreiter,2001,11,,53e9a388b7602d9702c96b5d
Klaus Engel,2001,11,,53e9a388b7602d9702c96b5d
Grzegorz Soza,2001,11,,53e9a388b7602d9702c96b5d
Michael Bauer,2001,11,,53e9a388b7602d9702c96b5d
M. Wolf,2001,11,,53e9a388b7602d9702c96b5d
O. Ganslandt,2001,11,,53e9a388b7602d9702c96b5d
R. Fahlbusch,2001,11,,53e9a388b7602d9702c96b5d
Günther Greiner,2001,11,,53e9a388b7602d9702c96b5d
Thomas Ertl,2001,11,,53e9a388b7602d9702c96b5d
Christopher. Nimsky,2001,11,,53e9a388b7602d9702c96b5d
Ashish Kapoor,2012,24,,53e9a3c0b7602d9702ccf4e0
Bongshin Lee,2012,24,,53e9a3c0b7602d9702ccf4e0
Desney S. Tan,2012,24,,53e9a3c0b7602d9702ccf4e0
Eric Horvitz,2012,24,,53e9a3c0b7602d9702ccf4e0
Peter Hastreiter,1996,23,,53e9a3d4b7602d9702ce8dfa
Hüseyin Kemâl Çakmak,1996,23,,53e9a3d4b7602d9702ce8dfa
Thomas Ertl,1996,23,,53e9a3d4b7602d9702ce8dfa
Leo Wanner,2011,24,"Pompeu Fabra Univ, Dept Informat & Commun Technol, Barcelona, Spain",53e9a3edb7602d9702d04f63
Stefanos Vrochidis,2011,24,"Informat & Telemat Inst, Ctr Res & Technol Hellas, Thermi 57001, Greece",53e9a3edb7602d9702d04f63
Sara Tonelli,2011,24,"Fondazione Bruno Kessler, Trento, Italy",53e9a3edb7602d9702d04f63
Jürgen Moßgraber,2011,24,"Fraunhofer Inst Optron, Syst Technol & Image Exploitat, Karlsburg, Germany",53e9a3edb7602d9702d04f63
Harald Bosch,2011,24,"Univ Stuttgart, Inst Visualizat & Interact Syst, Stuttgart, Germany",53e9a3edb7602d9702d04f63
Ari Karppinen,2011,24,"Finish Meteorolog Inst, Helsinki 00101, Finland",53e9a3edb7602d9702d04f63
Maria Myllynen,2011,24,"Helsinki Reg Environm Serv Author, Helsinki, Finland",53e9a3edb7602d9702d04f63
Marco Rospocher,2011,24,"Fondazione Bruno Kessler, Trento, Italy",53e9a3edb7602d9702d04f63
Nadjet Bouayad-Agha,2011,24,"Pompeu Fabra Univ, Dept Informat & Commun Technol, Barcelona, Spain",53e9a3edb7602d9702d04f63
Ulrich Bügel,2011,24,"Fraunhofer Inst Optron, Syst Technol & Image Exploitat, Karlsburg, Germany",53e9a3edb7602d9702d04f63
Gerard Casamayor,2011,24,"Pompeu Fabra Univ, Dept Informat & Commun Technol, Barcelona, Spain",53e9a3edb7602d9702d04f63
Thomas Ertl,2011,24,"Univ Stuttgart, Inst Visualizat & Interact Syst, Stuttgart, Germany",53e9a3edb7602d9702d04f63
Ioannis Kompatsiaris,2011,24,"Informat & Telemat Inst, Ctr Res & Technol Hellas, Thermi 57001, Greece",53e9a3edb7602d9702d04f63
Tarja Koskentalo,2011,24,"Helsinki Reg Environm Serv Author, Helsinki, Finland",53e9a3edb7602d9702d04f63
Simon Mille,2011,24,"Pompeu Fabra Univ, Dept Informat & Commun Technol, Barcelona, Spain",53e9a3edb7602d9702d04f63
Anastasia Moumtzidou,2011,24,"Informat & Telemat Inst, Ctr Res & Technol Hellas, Thermi 57001, Greece",53e9a3edb7602d9702d04f63
Emanuele Pianta,2011,24,"Fondazione Bruno Kessler, Trento, Italy",53e9a3edb7602d9702d04f63
Horacio Saggion,2011,24,"Pompeu Fabra Univ, Dept Informat & Commun Technol, Barcelona, Spain",53e9a3edb7602d9702d04f63
Luciano Serafini,2011,24,"Fondazione Bruno Kessler, Trento, Italy",53e9a3edb7602d9702d04f63
Virpi Tarvainen,2011,24,"Finish Meteorolog Inst, Helsinki 00101, Finland",53e9a3edb7602d9702d04f63
Ming C. Hao,2006,47,"Hewlett Packard Labs, Palo Alto, CA",53e9a3f4b7602d9702d0c11d
Daniel A. Keim,2006,47,"Computer Science Institute, University of Konstanz, Konstanz, Germany",53e9a3f4b7602d9702d0c11d
Umeshwar Dayal,2006,47,"Hewlett Packard Labs, Palo Alto, CA",53e9a3f4b7602d9702d0c11d
Jörn Schneidewind,2006,47,"University of Konstanz, Konstanz, Germany",53e9a3f4b7602d9702d0c11d
Martin Heczko,2000,6,,53e9a3fbb7602d9702d12631
Daniel A. Keim,2000,6,,53e9a3fbb7602d9702d12631
Roger Weber,2000,6,,53e9a3fbb7602d9702d12631
Zachary Pousman,2007,7,,53e9a440b7602d9702d5d23b
John T. Stasko,2007,7,,53e9a440b7602d9702d5d23b
Klaus D. Engel,1999,101,"Institut für Informatik, Abteilung für Visualisierung und Interaktive Systeme, Breitwiesenstr. 20-22, 70565 Stuttgart, Germany",53e9a447b7602d9702d635ca
Rüdiger Westermann,1999,101,"Dept. of Computer Science, University of Utah",53e9a447b7602d9702d635ca
Thomas Ertl,1999,101,,53e9a447b7602d9702d635ca
Stefan Röttger,2003,11,"Univ Stuttgart, Visualizat & Interact Syst Grp, D-7000 Stuttgart, Germany",53e9a472b7602d9702d8f1c6
Thomas Ertl,2003,11,"Univ Stuttgart, Visualizat & Interact Syst Grp, D-7000 Stuttgart, Germany",53e9a472b7602d9702d8f1c6
Florian Mansmann,2009,80,"University of Konstanz, Konstanz, Germany",53e9a479b7602d9702d965a9
Fabian Fischer,2009,80,"University of Konstanz, Konstanz, Germany",53e9a479b7602d9702d965a9
Daniel A. Keim,2009,80,"University of Konstanz, Konstanz, Germany",53e9a479b7602d9702d965a9
Stephen C. North,2009,80,"AT&T Research, Florham Park, NJ",53e9a479b7602d9702d965a9
Ming C. Hao,2010,6,,53e9a494b7602d9702db144d
Manish Marwah,2010,6,,53e9a494b7602d9702db144d
Halldor Janetzko,2010,6,,53e9a494b7602d9702db144d
Daniel A. Keim,2010,6,,53e9a494b7602d9702db144d
Umeshwar Dayal,2010,6,,53e9a494b7602d9702db144d
Ratnesh K. Sharma,2010,6,,53e9a494b7602d9702db144d
Debprakash Patnaik,2010,6,,53e9a494b7602d9702db144d
Naren Ramakrishnan,2010,6,,53e9a494b7602d9702db144d
Bongshin Lee,2009,7,"Microsoft Res, Redmond, WA 98052 USA",53e9a4a3b7602d9702dc6b0c
Lev Nachmanson,2009,7,"Microsoft Res, Redmond, WA 98052 USA",53e9a4a3b7602d9702dc6b0c
George Robertson,2009,7,"Microsoft Res, Redmond, WA 98052 USA",53e9a4a3b7602d9702dc6b0c
Jonathan M Carlson,2009,7,"Microsoft Res, Redmond, WA 98052 USA",53e9a4a3b7602d9702dc6b0c
David Heckerman,2009,7,"Microsoft Res, Redmond, WA 98052 USA",53e9a4a3b7602d9702dc6b0c
Christian Teitzel,1997,57,Universitat Erlangen-Nurnberg,53e9a4a3b7602d9702dc6764
Roberto Grosso,1997,57,Universitat Erlangen-Nurnberg,53e9a4a3b7602d9702dc6764
Thomas Ertl,1997,57,Universitat Erlangen-Nurnberg,53e9a4a3b7602d9702dc6764
Heike Jänicke,2007,135,,53e9a4c0b7602d9702ddef3b
Alexander Wiebel,2007,135,,53e9a4c0b7602d9702ddef3b
Gerik Scheuermann,2007,135,,53e9a4c0b7602d9702ddef3b
Wolfgang Kollmann,2007,135,,53e9a4c0b7602d9702ddef3b
Guido Reina,2007,135,,53e9a4c0b7602d9702ddef3b
Jadran Vrabec,2007,135,,53e9a4c0b7602d9702ddef3b
Thomas Ertl,2007,135,,53e9a4c0b7602d9702ddef3b
Alexander Hinneburg,2003,196,University of Halle Institute of Computer Science Halle (Saale) Germany,53e9a4c0b7602d9702de4168
Daniel A. Keim,2003,196,AT&T Research Labs and University of Constance Konstanz Germany,53e9a4c0b7602d9702de4168
Qiang Alex Zhao,2002,63,"Intel Corporation, Hillsboro, OR",53e9a4ddb7602d9702e0030c
John T. Stasko,2002,63,"Georgia Institute of Technology, Atlanta, GA",53e9a4ddb7602d9702e0030c
Christoph Muller,2012,0,"Institute for Visualization and Interactive Systems (VIS), Universität Stuttgart, Germany Visualization Research Center Universität Stuttgart (VISUS), Germany",53e9a4ebb7602d9702e0abb6
Robert Kruger,2012,0,"Institute for Visualization and Interactive Systems (VIS), Universität Stuttgart, Germany Visualization Research Center Universität Stuttgart (VISUS), Germany",53e9a4ebb7602d9702e0abb6
Steffen Koch,2012,0,"Institute for Visualization and Interactive Systems (VIS), Universität Stuttgart, Germany Visualization Research Center Universität Stuttgart (VISUS), Germany",53e9a4ebb7602d9702e0abb6
Guido Reina,2012,0,"Institute for Visualization and Interactive Systems (VIS), Universität Stuttgart, Germany Visualization Research Center Universität Stuttgart (VISUS), Germany",53e9a4ebb7602d9702e0abb6
Harald Bosch,2012,0,"Institute for Visualization and Interactive Systems (VIS), Universität Stuttgart, Germany Visualization Research Center Universität Stuttgart (VISUS), Germany",53e9a4ebb7602d9702e0abb6
Dennis Thom,2012,0,"Institute for Visualization and Interactive Systems (VIS), Universität Stuttgart, Germany Visualization Research Center Universität Stuttgart (VISUS), Germany",53e9a4ebb7602d9702e0abb6
Thomas Ertl,2012,0,"Institute for Visualization and Interactive Systems (VIS), Universität Stuttgart, Germany Visualization Research Center Universität Stuttgart (VISUS), Germany",53e9a4ebb7602d9702e0abb6
Daniel A. Keim,2010,4,"University of Konstanz, Constance, Germany",53e9a4f3b7602d9702e13537
Aiko Pras,2010,4,"University of Twente, Enschede, The Netherlands",53e9a4f3b7602d9702e13537
Jürgen Schönwälder,2010,4,"Jacobs University Bremen, Bremen, Germany",53e9a4f3b7602d9702e13537
Pak Chung Wong,2010,4,"Pacific Northwest National Laboratory, Richland, USA",53e9a4f3b7602d9702e13537
Florian Mansmann,2010,4,"University of Konstanz, Constance, Germany",53e9a4f3b7602d9702e13537
Benjamin Bach,2014,219,"INRIA, Saclay , France",53e9a4fab7602d9702e1a261
Emmanuel Pietriga,2014,219,"INRIA, Saclay, France and INRIA Chile-CIRIC, Santiago, Chile",53e9a4fab7602d9702e1a261
Jean-Daniel Fekete,2014,219,"INRIA, Saclay , France",53e9a4fab7602d9702e1a261
Bernhard Schmitz,2010,21,"Institute for Visualization and Interactive Systems, Universität Stuttgart, Stuttgart, Germany",53e9a50eb7602d9702e2f36e
Thomas Ertl,2010,21,"Institute for Visualization and Interactive Systems, Universität Stuttgart, Stuttgart, Germany",53e9a50eb7602d9702e2f36e
Amy K. Karlson,2011,36,"Microsoft Research, Redmond, Washington, USA",53e9a52cb7602d9702e4f40e
Greg Smith,2011,36,"Microsoft Research, Redmond, Washington, USA",53e9a52cb7602d9702e4f40e
Bongshin Lee,2011,36,"Microsoft Research, Redmond, Washington, USA",53e9a52cb7602d9702e4f40e
Oliver Deussen,2010,2,"Fachbereich Informatik und Informationswissenschaft, Universität Konstanz, Konstanz, Deutschland",53e9a554b7602d9702e79d8c
Heinrich H. Bülthoff,2010,2,"Max-Planck-Institut für Biologische Kybernetik, Tübingen, Deutschland",53e9a554b7602d9702e79d8c
Thomas Ertl,2010,2,"Visualisierungsinstitut, Universität Stuttgart, Stuttgart, Deutschland",53e9a554b7602d9702e79d8c
Daniel A. Keim,2010,2,"Fachbereich Informatik und Informationswissenschaft, Universität Konstanz, Konstanz, Deutschland",53e9a554b7602d9702e79d8c
Bernd Lintermann,2010,2,"ZKM Karlsruhe, Karlsruhe, Deutschland",53e9a554b7602d9702e79d8c
Harald Reiterer,2010,2,"Fachbereich Informatik und Informationswissenschaft, Universität Konstanz, Konstanz, Deutschland",53e9a554b7602d9702e79d8c
Andreas Schilling,2010,2,"Fakultät für Informatik, Universität Tübingen, Tübingen, Deutschland",53e9a554b7602d9702e79d8c
Michael Krone,2014,14,"Univ Stuttgart, Visualizat Res Ctr, Stuttgart, Germany",53e9a58cb7602d9702eb78fd
Daniel Kauker,2014,14,"Univ Stuttgart, Visualizat Res Ctr, Stuttgart, Germany",53e9a58cb7602d9702eb78fd
Guido Reina,2014,14,"Univ Stuttgart, Visualizat Res Ctr, Stuttgart, Germany",53e9a58cb7602d9702eb78fd
Thomas Ertl,2014,14,"Univ Stuttgart, Visualizat Res Ctr, Stuttgart, Germany",53e9a58cb7602d9702eb78fd
Martin Schulz,1999,1,,53e9a593b7602d9702eb90fb
Thomas Reuding,1999,1,,53e9a593b7602d9702eb90fb
Edith Zimmermann,1999,1,,53e9a593b7602d9702eb90fb
Thomas Ertl,1999,1,,53e9a593b7602d9702eb90fb
Dirc Rose,2000,4,,53e9a593b7602d9702ebafc2
Thomas Ertl,2000,4,,53e9a593b7602d9702ebafc2
Yuli Gao,2009,36,"Hewlett-Packard Laboratories, Palo Alto, CA",53e9a593b7602d9702ebba95
Jinye Peng,2009,36,"School of Electronics and Information, Northwestern Polytechnical University, Xi'an, China",53e9a593b7602d9702ebba95
Hangzai Luo,2009,36,"Software Engineering Institute, East China Normal University, Shanghai, China",53e9a593b7602d9702ebba95
Daniel A. Keim,2009,36,"Computer and Information Science Department, University of Konstanz, Konstanz, Germany",53e9a593b7602d9702ebba95
Jianping Fan,2009,36,"Department of Computer Science, University of North Carolina, Charlotte, NC",53e9a593b7602d9702ebba95
Jeffrey Heer,2010,942,"Stanford University, Stanford, CA, USA",53e9a59ab7602d9702ebffa9
Michael Bostock,2010,942,"Stanford University, Stanford, CA, USA",53e9a59ab7602d9702ebffa9
Stefan Berchtold,1997,249,"University of Munich, Germany",53e9a5b7b7602d9702ee3cfc
Christian Böhm,1997,249,"University of Munich, Germany",53e9a5b7b7602d9702ee3cfc
Bernhard Braunmüller,1997,249,"University of Munich, Germany",53e9a5b7b7602d9702ee3cfc
Daniel A. Keim,1997,249,"University of Munich, Germany",53e9a5b7b7602d9702ee3cfc
Hans-Peter Kriegel,1997,249,"University of Munich, Germany",53e9a5b7b7602d9702ee3cfc
Gennady L. Andrienko,2009,36,"University of Bonn and Fraunhofer Institute IAIS, Schloss Birlinghoven, Sankt Augustin Germany",53e9a5c5b7602d9702eeca8d
Natalia V. Andrienko,2009,36,"University of Bonn and Fraunhofer Institute IAIS, Schloss Birlinghoven, Sankt Augustin Germany",53e9a5c5b7602d9702eeca8d
Peter Bak,2009,36,"University of Konstanz, Konstanz, Germany",53e9a5c5b7602d9702eeca8d
Slava Kisilevich,2009,36,"University of Konstanz, Konstanz, Germany",53e9a5c5b7602d9702eeca8d
Daniel A. Keim,2009,36,"University of Konstanz, Konstanz, Germany",53e9a5c5b7602d9702eeca8d
Mihael Ankerst,1998,351,"Munich Univ., Germany|c|",53e9a5dbb7602d9702f02931
Stefan Berchtold,1998,351,"Univ Munich, D-80538 Munich, Germany",53e9a5dbb7602d9702f02931
Daniel A. Keim,1998,351,"Univ Munich, D-80538 Munich, Germany",53e9a5dbb7602d9702f02931
Sven Kuschfeldt,1998,30,"BMW AG, Munich, Germany|c|",53e9a5e1b7602d9702f0a620
Michael Holzner,1998,30,,53e9a5e1b7602d9702f0a620
Ove Sommer,1998,30,,53e9a5e1b7602d9702f0a620
Thomas Ertl,1998,30,,53e9a5e1b7602d9702f0a620
Basak Alper,2013,214,"University of California - Santa Barbara, Santa Barbara, California, USA",53e9a603b7602d9702f311ea
Benjamin Bach,2013,214,"INRIA, Paris, France",53e9a603b7602d9702f311ea
Nathalie Henry Riche,2013,214,"Microsoft Research, Redmond, Washington, USA",53e9a603b7602d9702f311ea
Tobias Isenberg,2013,214,"INRIA, Saclay, France",53e9a603b7602d9702f311ea
Jean-Daniel Fekete,2013,214,"INRIA, Paris, France",53e9a603b7602d9702f311ea
Hartmut Ziegler,2007,18,"University of Konstanz, Germany",53e9a60ab7602d9702f37d87
Tilo Nietzschmann,2007,18,"University of Konstanz, Germany",53e9a60ab7602d9702f37d87
Daniel A. Keim,2007,18,"University of Konstanz, Germany",53e9a60ab7602d9702f37d87
Tanja Blascheck,2013,8,,53e9a60ab7602d9702f3c0b4
Thomas Ertl,2013,8,,53e9a60ab7602d9702f3c0b4
Youn ah Kang,2011,117,,53e9a627b7602d9702f54d44
John T. Stasko,2011,117,,53e9a627b7602d9702f54d44
Steffen Frey,2013,25,,53e9a63eb7602d9702f6c157
Filip Sadlo,2013,25,,53e9a63eb7602d9702f6c157
Thomas Ertl,2013,25,,53e9a63eb7602d9702f6c157
Andreas Kerren,2007,1,,53e9a64ab7602d9702f77fb9
John T. Stasko,2007,1,,53e9a64ab7602d9702f77fb9
Jean-daniel Fekete,2007,1,,53e9a64ab7602d9702f77fb9
Chris North,2007,1,,53e9a64ab7602d9702f77fb9
Joachim E. Vollrath,2006,20,Visualization and Interactive Systems Group|University of Stuttgart|Universit,53e9a658b7602d9702f8ae5f
Tobias Schafhitzel,2006,20,Visualization and Interactive Systems Group|University of Stuttgart|Universit,53e9a658b7602d9702f8ae5f
Thomas Ertl,2006,20,Visualization and Interactive Systems Group|University of Stuttgart|Universit,53e9a658b7602d9702f8ae5f
Yi Han,2009,18,School of Interactive|Computing & GVU Center|Georgia Institute of Technology,53e9a698b7602d9702fc9d6f
Erich P. Stuntebeck,2009,18,School of Interactive|Computing & GVU Center|Georgia Institute of Technology,53e9a698b7602d9702fc9d6f
John T. Stasko,2009,18,School of Interactive|Computing & GVU Center|Georgia Institute of Technology,53e9a698b7602d9702fc9d6f
Gregory D. Abowd,2009,18,School of Interactive|Computing & GVU Center|Georgia Institute of Technology,53e9a698b7602d9702fc9d6f
Daniel A. Keim,2003,32,"University of Konstanz, Germany",53e9a69fb7602d9702fd2f5a
Christian Panse,2003,32,"University of Konstanz, Germany",53e9a69fb7602d9702fd2f5a
Jörn Schneidewind,2003,32,"University of Konstanz, Germany",53e9a69fb7602d9702fd2f5a
Mike Sips,2003,32,"University of Konstanz, Germany",53e9a69fb7602d9702fd2f5a
Ming C. Hao,2003,32,"Hewlett Packard Research Laboratories, Palo Alto, CA USA",53e9a69fb7602d9702fd2f5a
Umeshwar Dayal,2003,32,"Hewlett Packard Research Laboratories, Palo Alto, CA USA",53e9a69fb7602d9702fd2f5a
Justin Talbot,2009,286,"Stanford, Stanford, CA, USA",53e9a6bbb7602d9702fefeb6
Bongshin Lee,2009,286,"Microsoft Research, Redmond, WA, USA",53e9a6bbb7602d9702fefeb6
Ashish Kapoor,2009,286,"Microsoft Research, Redmond, WA, USA",53e9a6bbb7602d9702fefeb6
Desney S. Tan,2009,286,"Microsoft Research, Redmond, WA, USA",53e9a6bbb7602d9702fefeb6
Michael Bostock,2009,495,Stanford University,53e9a6cbb7602d9703001dbb
Jeffrey Heer,2009,495,Stanford University,53e9a6cbb7602d9703001dbb
Ming C. Hao,2007,112,"Hewlett-Packard Laboratories, Palo Alto",53e9a6d0b7602d970300309d
Umeshwar Dayal,2007,112,"Hewlett-Packard Laboratories, Palo Alto",53e9a6d0b7602d970300309d
Daniel A. Keim,2007,112,"University of Konstanz, Germany",53e9a6d0b7602d970300309d
Tobias Schreck,2007,112,"University of Konstanz, Germany",53e9a6d0b7602d970300309d
Ashwin Ram,1999,19,"Georgia Inst Technol, Coll Comp, Atlanta, GA 30332 USA",53e9a6d1b7602d97030091a3
Richard Catrambone,1999,19,"Georgia Inst Technol, Coll Comp, Atlanta, GA 30332 USA",53e9a6d1b7602d97030091a3
Mark J. Guzdial,1999,19,"Georgia Inst Technol, Coll Comp, Atlanta, GA 30332 USA",53e9a6d1b7602d97030091a3
Colleen M. Kehoe,1999,19,"Georgia Inst Technol, Coll Comp, Atlanta, GA 30332 USA",53e9a6d1b7602d97030091a3
D. Scott McCrickard,1999,19,"Georgia Inst Technol, Coll Comp, Atlanta, GA 30332 USA",53e9a6d1b7602d97030091a3
John T. Stasko,1999,19,"Georgia Inst Technol, Coll Comp, Atlanta, GA 30332 USA",53e9a6d1b7602d97030091a3
Katharina Reinecke,2013,1,"Harvard University, Cambridge, USA",53e9a6fdb7602d97030346dc
David R. Flatla,2013,1,"University of Saskatchewan, Saskatoon, Canada",53e9a6fdb7602d97030346dc
Erin Solovey,2013,1,"Massachusetts Institute of Technology, Cambridge, USA",53e9a6fdb7602d97030346dc
Carl Gutwin,2013,1,"University of Saskatchewan, Saskatoon, Canada",53e9a6fdb7602d97030346dc
Krzysztof Z. Gajos,2013,1,"Harvard University, Cambridge, Massachusetts, USA",53e9a6fdb7602d97030346dc
Jeffrey Heer,2013,1,"Stanford University, Palo Alto, USA",53e9a6fdb7602d97030346dc
Dominik Lücke,2008,12,"Inst. of Ind. Eng. & Manage. (IFF), Univ. Stuttgart, Stuttgart|c|",53e9a6fdb7602d97030356ea
Engelbert Westkämper,2008,12,,53e9a6fdb7602d97030356ea
Mike Eissele,2008,12,,53e9a6fdb7602d97030356ea
Thomas Ertl,2008,12,,53e9a6fdb7602d97030356ea
Oliver Siemoneit,2008,12,,53e9a6fdb7602d97030356ea
Sean Kandel,2012,500,"Stanford Univ, Stanford, CA 94305 USA",53e9a711b7602d9703048203
Andreas Paepcke,2012,500,"Stanford Univ, Stanford, CA 94305 USA",53e9a711b7602d9703048203
Joseph M. Hellerstein,2012,500,"Univ Calif Berkeley, Berkeley, CA USA",53e9a711b7602d9703048203
Jeffrey Heer,2012,500,"Stanford Univ, Stanford, CA 94305 USA",53e9a711b7602d9703048203
John T. Stasko,1993,394,,53e9a743b7602d970307d1e1
Albert N. Badre,1993,394,,53e9a743b7602d970307d1e1
Clayton Lewis,1993,394,,53e9a743b7602d970307d1e1
Michael Wörner,2014,5,"Univ Stuttgart, Inst Visualizat & Interact Syst, GSaME, Stuttgart, Germany",53e9a7b3b7602d97030f26a6
Thomas Ertl,2014,5,,53e9a7b3b7602d97030f26a6
John T. Stasko,1990,134,"College of Computing, Georgia Institute of Technology, Atlanta, GA 30332-0280, U.S.A.",53e9a7cfb7602d970311011b
Philipp Heim,2011,5,"University of Stuttgart, Germany",53e9a7f8b7602d9703138c6a
Thomas Schlegel,2011,5,"University of Dresden, Germany",53e9a7f8b7602d9703138c6a
Thomas Ertl,2011,5,"University of Stuttgart, Germany",53e9a7f8b7602d9703138c6a
Joao Paulo Gois,2006,12,"Univ Sao Paulo, Sao Paulo, Brazil",53e9a806b7602d970314a951
Eduardo Tejada,2006,12,"Univ Stuttgart, Stuttgart, Germany",53e9a806b7602d970314a951
Tiago Etiene,2006,12,"Univ Sao Paulo, Sao Paulo, Brazil",53e9a806b7602d970314a951
Luis Gustavo Nonato,2006,12,"Univ Sao Paulo, Sao Paulo, Brazil",53e9a806b7602d970314a951
Antonio Castelo,2006,12,"Univ Sao Paulo, Sao Paulo, Brazil",53e9a806b7602d970314a951
Thomas Ertl,2006,12,"Univ Sao Paulo, Sao Paulo, Brazil",53e9a806b7602d970314a951
Jason Chuang,2013,141,stanford university,53e9a818b7602d970315b37c
Sonal Gupta,2013,141,stanford university,53e9a818b7602d970315b37c
Christopher D. Manning,2013,141,stanford university,53e9a818b7602d970315b37c
