name,year,citationcount,affiliation
Issei Fujishiro,2019,10,Keio University
Kwan-Liu Ma,2019,10,"University of California, Davis"
Zhutian Chen,2020,33,Hong Kong University of Science and Technology
Wei Zeng,2020,33,Shenzhen Institutes of Advanced TechnologyChinese Academy of Sciences
Zhiguang Yang,2020,33,Shenzhen Institutes of Advanced TechnologyChinese Academy of Sciences
Lingyun Yu,2020,33,University of Groningen
Chi-Wing Fu,2020,33,Chinese University of Hong Kong
Huamin Qu,2020,33,Hong Kong University of Science and Technology
Joyce Ma,2020,12,"Exploratorium, San Francisco"
Kwan-Liu Ma,2020,12,"University of California, Davis"
Jennifer Frazier,2020,12,"Exploratorium, San Francisco"
Dong Sun,2020,35,Hong Kong University of Sccience and Technology
Renfei Huang,2020,35,Hong Kong University of Sccience and Technology
Yuanzhe Chen,2020,35,Noah's Ark LabHuawei Technologies Co. Ltd.
Yong Wang,2020,35,Hong Kong University of Sccience and Technology
Jia Zeng,2020,35,Noah's Ark LabHuawei Technologies Co. Ltd.
Mingxuan Yuan,2020,35,Noah's Ark LabHuawei Technologies Co. Ltd.
Ting-Chuen Pong,2020,35,Hong Kong University of Sccience and Technology
Huamin Qu,2020,35,Hong Kong University of Science and Technology
Jianping Kelvin Li,2020,16,"Univ Calif Davis, Davis, CA 95616 USA"
Kwan-Liu Ma,2020,16,"Univ Calif Davis, Davis, CA 95616 USA"
Ke Xu,2020,25,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Yun Wang,2020,25,"Microsoft Res, Redmond, WA USA"
Leni Yang,2020,25,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Yifang Wang,2020,25,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Bo Qiao,2020,25,"Microsoft Res, Redmond, WA USA"
Si Qin,2020,25,"Microsoft Res, Redmond, WA USA"
Yong Xu,2020,25,"Microsoft Res, Redmond, WA USA"
Haidong Zhang,2020,25,"Microsoft Res, Redmond, WA USA"
Huamin Qu,2020,25,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Xuanwu Yue,2020,11,Hong Kong University of Science and TechnologySinovation Ventures AI Institute
Jiaxin Bai,2020,11,Hong Kong University of Science and Technology
Qinhan Liu,2020,11,Hong Kong University of Science and Technology
Yiyang Tang,2020,11,Hong Kong University of Science and Technology
Abishek Puri,2020,11,Hong Kong University of Science and Technology
Ke Li,2020,11,RiceQuant Co. Ltd.
Huamin Qu,2020,11,Hong Kong University of Science and Technology
Haipeng Zeng,2020,29,Hong Kong University of Science and Technology
Xingbo Wang,2020,29,Hong Kong University of Science and Technology
Aoyu Wu,2020,29,Hong Kong University of Science and Technology
Yong Wang,2020,29,Hong Kong University of Science and Technology
Quan Li,2020,29,"WeBank, AI Group, China"
Alex Endert,2020,29,Georgia Institute of Technology
Huamin Qu,2020,29,Hong Kong University of Science and Technology
Yong Wang,2020,41,Hong Kong University of Science and Technology (HKUST)
Zhihua Jin,2020,41,Hong Kong University of Science and Technology (HKUST)
Qianwen Wang,2020,41,Hong Kong University of Science and Technology (HKUST)
Weiwei Cui,2020,41,Microsoft Research Asia
Tengfei Ma,2020,41,IBM T. J. Watson Research Center
Huamin Qu,2020,41,Hong Kong University of Science and Technology (HKUST)
Zhutian Chen,2020,58,Hong Kong University of Science and Technology
Yun Wang,2020,58,Microsoft Research
Qianwen Wang,2020,58,Hong Kong University of Science and Technology
Yong Wang,2020,58,Hong Kong University of Science and Technology
Huamin Qu,2020,58,Hong Kong University of Science and Technology
Yao Ming,2020,32,Hong Kong University of Science and Technology
Panpan Xu,2020,32,Bosch Research North America
Furui Cheng,2020,32,Hong Kong University of Science and Technology
Huamin Qu,2020,32,Hong Kong University of Science and Technology
Liu Ren,2020,32,Bosch Research North America
Huu Tan Pham Nguyen,2021,13,"Department of Computer Science, University of California, Davis, CA, USA"
Abhinav Bhatele,2021,13,"Department of Computer Science, University of Maryland, College Park, MD, USA"
Nikhil Jain,2021,13,"NVIDIA, Inc, Santa Clara, CA"
Suraj Kesavan,2021,13,"Department of Computer Science, University of California, Davis, CA, USA"
Harsh Bhatia,2021,13,"Lawrence Livermore National Laboratory, Center for Applied Scientific Computing, Livermore, CA, USA"
Todd Gamblin,2021,13,"Lawrence Livermore National Laboratory, Center for Applied Scientific Computing, Livermore, CA, USA"
Kwan-Liu Ma,2021,13,"Department of Computer Science, University of California, Davis, CA, USA"
Peer-Timo Bremer,2021,13,"Lawrence Livermore National Laboratory, Center for Applied Scientific Computing, Livermore, CA, USA"
Hammad Haleem,2018,37,The Hong Kong University of Science and Technology
Yong Wang,2018,37,The Hong Kong University of Science and Technology
Abishek Puri,2018,37,The Hong Kong University of Science and Technology
Sahil Wadhwa,2018,37,Blackrock
Huamin Qu,2018,37,The Hong Kong University of Science and Technology
Fan Du,2019,14,"University of Maryland, USA"
Catherine Plaisant,2019,14,"University of Maryland, USA"
Neil Spring,2019,14,"University of Maryland, USA"
Kenyon Crowley,2019,14,"University of Maryland, USA"
Ben Shneiderman,2019,14,"University of Maryland, USA"
Haipeng Zeng,2021,46,"Hong Kong University of Science and Technology, Hong Kong"
Xinhuan Shu,2021,46,"Hong Kong University of Science and Technology, Hong Kong"
Yanbang Wang,2021,46,"Hong Kong University of Science and Technology, Hong Kong"
Yong Wang,2021,46,"Hong Kong University of Science and Technology, Hong Kong"
Liguo Zhang,2021,46,"Harbin Engineering University, Harbin, China"
Ting-Chuen Pong,2021,46,"Hong Kong University of Science and Technology, Hong Kong"
Huamin Qu,2021,46,"Hong Kong University of Science and Technology, Hong Kong"
Yong Wang,2019,14,Hong Kong University of Science and Technology
Daniel Archambault,2019,14,Swansea University
Hammad Haleem,2019,14,Hong Kong University of Science and Technology
Torsten Möller,2019,14,University of Vienna
Yanhong Wu,2019,14,Visa Research
Huamin Qu,2019,14,Hong Kong University of Science and Technology
Anamaria Crisan,2019,10,"University of British Columbia,Dept. of Computer Science"
Tamara Munzner,2019,10,"University of British Columbia,Dept. of Computer Science"
Leo Yu-Ho Lo,2019,0,Hong Kong University of Science and Technology
Yao Ming,2019,0,Hong Kong University of Science and Technology
Huamin Qu,2019,0,Hong Kong University of Science and Technology
Amyra Meidiana,2019,4,University of Sydney
Seok-Hee Hong,2019,4,University of Sydney
Jiajun Huang,2019,4,University of Sydney
Peter Eades,2019,4,University of Sydney
Kwan-Liu Ma,2019,4,University of California at Davis
Shilpika,2019,12,"Department of Computer Science, University of California, Davis, Davis, CA, USA"
Bethany Lusch,2019,12,"Argonne Leadership Computing Facility, Argonne National Laboratory"
Murali Emani,2019,12,"Argonne Leadership Computing Facility, Argonne National Laboratory"
Venkatram Vishwanath,2019,12,"Argonne Leadership Computing Facility, Argonne National Laboratory"
Michael E. Papka,2019,12,"Argonne Leadership Computing Facility, Argonne National Laboratory, Lemont, IL, USA"
Kwan-Liu Ma,2019,12,"Department of Computer Science, University of California, Davis"
Yucong Ye,2019,6,"Department of Computer Science, University of California, Davis"
Franz Sauer,2019,6,"Department of Computer Science, University of California, Davis"
Kwan-Liu Ma,2019,6,"Department of Computer Science, University of California, Davis"
Konduri Aditya,2019,6,Combustion Research FacilitySandia National Laboratories
Jacqueline Chen,2019,6,Combustion Research FacilitySandia National Laboratories
Zipeng Liu,2020,3,University of British Columbia
Takayuki Itoh,2020,3,Ochanomizu University
Jessica Q Dawson,2020,3,University of British Columbia
Tamara Munzner,2020,3,University of British Columbia
Ayshwarya Saktheeswaran,2020,25,"Georgia Institute of Technology, Atlanta, GA"
Arjun Srinivasan,2020,25,"Georgia Institute of Technology, Atlanta, GA"
John Stasko,2020,25,"Georgia Institute of Technology, Atlanta, GA"
Bongshin Lee,2020,54,Microsoft Research
Eun Choe,2020,54,"University of Maryland, College Park"
Petra Isenberg,2020,54,Inria
Kim Marriott,2020,54,Monash University
John Stasko,2020,54,Georgia Institute of Technology
Huan Wei,2020,24,Hong Kong University of Science and Technology
Haotian Li,2020,24,Hong Kong University of Science and Technology
Meng Xia,2020,24,Hong Kong University of Science and Technology
Yong Wang,2020,24,Hong Kong University of Science and Technology
Huamin Qu,2020,24,Hong Kong University of Science and Technology
Chuan Wang,2017,2,"University of California, Davis"
Takeshi Onishi,2017,2,"University of California, Davis"
Kwan-Liu Ma,2017,2,"University of California, Davis"
Mingqian Zhao,2017,4,"Hong Kong University of Science and Technology, Hong Kong"
Yijia Su,2017,4,"Hong Kong University of Science and Technology, Hong Kong"
Jian Zhao,2017,4,FX Palo Alto Laboratory
Shaoyu Chen,2017,4,"Hong Kong University of Science and Technology, Hong Kong"
Huamin Qu,2017,4,"Hong Kong University of Science and Technology, Hong Kong"
Ben Shneiderman,2020,285,"Univ Maryland, College Pk, MD 20742 USA"
Kwan-Liu Ma,2020,0,"University of California at Davis, United States of America"
Han-Wei Shen,2020,0,"Ohio State University, United States of America"
Zipeng Liu,2020,8,"University of British Columbia, Vancouver, BC, Canada"
Zhicheng Liu,2020,8,"Adobe Research, Seattle, WA, USA"
Tamara Munzner,2020,8,"University of British Columbia, Vancouver, BC, Canada"
Dong Sun,2020,17,"Hong Kong University of Science and Technology, Hong Kong, China"
Zezheng Feng,2020,17,"Hong Kong University of Science and Technology, Hong Kong, China"
Yuanzhe Chen,2020,17,"Huawei Technologies Investment Co. Ltd, Shenzhen, China"
Yong Wang,2020,17,"Hong Kong University of Science and Technology, Hong Kong, China"
Jia Zeng,2020,17,"Huawei Technologies Investment Co. Ltd, Shenzhen, China"
Mingxuan Yuan,2020,17,"Huawei Technologies Investment Co. Ltd, Shenzhen, China"
Ting-Chuen Pong,2020,17,"The Kong Kong University of Science and Technology, Hong Kong, China"
Huamin Qu,2020,17,"Hong Kong University of Science and Technology, Hong Kong, China"
Zhutian Chen,2020,34,"Hong Kong University of Science and Technology, Hong Kong, China"
Wai Tong,2020,34,"Hong Kong University of Science and Technology, Hong Kong, China"
Qianwen Wang,2020,34,"Hong Kong University of Science and Technology, Hong Kong, China"
Benjamin Bach,2020,34,"University of Edinburgh, Edinburgh, United Kingdom"
Huamin Qu,2020,34,"Hong Kong University of Science and Technology, Hong Kong, China"
Dakuo Wang,2020,61,"IBM Research, Cambridge, MA, USA"
Elizabeth Churchill,2020,61,"Needed, Needed, APO AA"
Pattie Maes,2020,61,"Massachusetts Institute of Technology, Cambridge, MA, USA"
Xiangmin Fan,2020,61,"Chinese Academy of Science, Beijing, China"
Ben Shneiderman,2020,61,"University of Maryland, College Park, MD, USA"
Yuanchun Shi,2020,61,"Tsinghua University, Beijing, China"
Qianying Wang,2020,61,"Lenovo, Beijing, China"
Ben Shneiderman,2020,0,University of Maryland
Yi Chen,2020,7,"Beijing Key Laboratory of Big Data Technology for Food Safety, Beijing Technology and Business University, Beijing, China"
Cheng Lv,2020,7,"Beijing Key Laboratory of Big Data Technology for Food Safety, Beijing Technology and Business University, Beijing, China"
Yue Li,2020,7,"Beijing Key Laboratory of Big Data Technology for Food Safety, Beijing Technology and Business University, Beijing, China"
Wei Chen,2020,7,"State Key Laboratory of CAD&CG, Zhejiang University, Zhejiang, China"
Kwan-Liu Ma,2020,7,"Department of Computer Science, University of California, Davis, USA"
Arjun Srinivasan,2020,10,School of Interactive ComputingGeorgia Institute of Technology
John Stasko,2020,10,School of Interactive ComputingGeorgia Institute of Technology
Daniel F Keefe,2020,10,
Melanie Tory,2020,10,
Jürgen Bernard,2020,4,Technische Universität Darmstadt
Marco Hutter,2020,4,Technische Universität Darmstadt
Matthias Zeppelzauer,2020,4,St. Pölten University of Applied Sciences
Michael Sedlmair,2020,4,University of Stuttgart
Tamara Munzner,2020,4,University of British Columbia
Tanyoung Kim,2011,1,
Jan Blom,2011,1,
John Stasko,2011,1,
Georges G. Grinstein,2003,0,"University of Massachusetts, Lowell"
Alfred Kobsa,2003,0,"University of California, Irvine"
Catherine Plaisant,2003,0,"Univ. of Maryland, College Park"
Ben Shneiderman,2003,0,"Univ. of Maryland, College Park"
John T. Stasko,2003,0,Georgia Institute of Technology
Quan Li,2014,0,"Swansea University, Swansea, UK"
Huamin Qu,2014,0,"Hong Kong University of Science and Technology, Hong Kong"
Qianwen Wang,2021,23,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Zhenhua Xu,2021,23,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Zhutian Chen,2021,23,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Yong Wang,2021,23,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Shixia Liu,2021,23,"Tsinghua Univ, Beijing, Peoples R China"
Huamin Qu,2021,23,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Meng Xia,2020,13,"Hong Kong University of Science and Technology, Hong Kong, Hong Kong"
Yuya Asano,2020,13,"University of Toronto, Toronto, ON, Canada"
Joseph Jay Williams,2020,13,"University of Toronto, Toronto, ON, Canada"
Huamin Qu,2020,13,"Hong Kong University of Science and Technology, Hong Kong, Hong Kong"
Xiaojuan Ma,2020,13,"Hong Kong University of Science and Technology, Hong Kong, Hong Kong"
Zezheng Feng,2021,17,Hong Kong University of Science and Technology
Haotian Li,2021,17,Hong Kong University of Science and Technology
Wei Zeng,2021,17,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences"
Shuang-Hua Yang,2021,17,Southern University of Science and Technology
Huamin Qu,2021,17,Hong Kong University of Science and Technology
Takanori Fujiwara,2020,4,"University of California, Davis"
Jian Zhao,2020,4,University of Waterloo
Francine Chen,2020,4,FX Palo Alto Laboratory
Kwan-Liu Ma,2020,4,"University of California, Davis"
Haotian Li,2020,12,"The Hong Kong University of Science and Technology, Hong Kong, Hong Kong"
Huan Wei,2020,12,"The Hong Kong University of Science and Technology, Hong Kong, Hong Kong"
Yong Wang,2020,12,"The Hong Kong University of Science and Technology, Hong Kong, Hong Kong"
Yangqiu Song,2020,12,"The Hong Kong University of Science and Technology, Hong Kong, Hong Kong"
Huamin Qu,2020,12,"The Hong Kong University of Science and Technology, Hong Kong, Hong Kong"
Takanori Fujiwara,2021,30,"Univ Calif Davis, Davis, CA 95616 USA"
Shilpika,2021,30,"Univ Calif Davis, Davis, CA 95616 USA"
Naohisa Sakamoto,2021,30,"Kobe Univ, Kobe, Hyogo, Japan"
Jorji Nonaka,2021,30,"RIKEN R CCS, Kobe, Hyogo, Japan"
Keiji Yamamoto,2021,30,"RIKEN R CCS, Kobe, Hyogo, Japan"
Kwan-Liu Ma,2021,30,"Univ Calif Davis, Davis, CA 95616 USA"
Aoyu Wu,2021,30,Hong Kong University of Science and Technology
Wai Tong,2021,30,Hong Kong University of Science and Technology
Tim Dwyer,2021,30,Monash University
Bongshin Lee,2021,30,Microsoft Research
Petra Isenberg,2021,30,Inria
Huamin Qu,2021,30,Hong Kong University of Science and Technology
Xinhuan Shu,2021,32,"Zhejiang Univ, State Key Lab CAD&CG, Hangzhou, Peoples R China"
Aoyu Wu,2021,32,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Junxiu Tang,2021,32,"Zhejiang Univ, State Key Lab CAD&CG, Hangzhou, Peoples R China"
Benjamin Bach,2021,32,"Univ Edinburgh, Edinburgh, Midlothian, Scotland"
Yingcai Wu,2021,32,"Zhejiang Univ, State Key Lab CAD&CG, Hangzhou, Peoples R China"
Huamin Qu,2021,32,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Michael Oppermann,2021,26,University of British Columbia
Robert Kincaid,2021,26,Tableau Research (retired)
Tamara Munzner,2021,26,University of British Columbia
Furui Cheng,2021,39,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Yao Ming,2021,39,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Huamin Qu,2021,39,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Arpit Narechania,2021,53,"Georgia Institute of Technology, Atlanta, GA, USA"
Arjun Srinivasan,2021,53,"Georgia Institute of Technology, Atlanta, GA, USA"
John Stasko,2021,53,"Georgia Institute of Technology, Atlanta, GA, USA"
Ka Wing Tsang,2020,8,Hong Kong University of Science and Technology
Haotian Li,2020,8,Hong Kong University of Science and Technology
Fuk Ming Lam,2020,8,ALGOGENE
Yifan Mu,2020,8,Hong Kong University of Science and Technology
Yong Wang,2020,8,Hong Kong University of Science and Technology
Huamin Qu,2020,8,Hong Kong University of Science and Technology
Po-Ming Law,2020,13,Georgia Institute of Technology
Alex Endert,2020,13,Georgia Institute of Technology
John Stasko,2020,13,Georgia Institute of Technology
Po-Ming Law,2020,16,Georgia Institute of Technology
Alex Endert,2020,16,Georgia Institute of Technology
John Stasko,2020,16,Georgia Institute of Technology
Jianping Kelvin Li,2021,8,"University of California, Davis"
Kwan-Liu Ma,2021,8,"University of California, Davis"
Michael Oppermann,2020,17,University of British Columbia
Tamara Munzner,2020,17,University of British Columbia
Suyun Bae,2020,6,"University of California, Davis"
Federico Rossi,2020,6,"Jet Propulsion Laboratory, California Institute of Technology"
Joshua Vander Hook,2020,6,"Jet Propulsion Laboratory, California Institute of Technology"
Scott Davidoff,2020,6,"Jet Propulsion Laboratory, California Institute of Technology"
Kwan-Liu Ma,2020,6,"University of California, Davis"
Tarik Crnovrsanin,2021,7,"University of California, Davis"
Shilpika,2021,7,"University of California, Davis"
Senthil Chandrasegaran,2021,7,"University of California, Davis"
Kwan-Liu Ma,2021,7,"University of California, Davis"
Stephen Kasica,2021,20,University of British Columbia
Charles Berret,2021,20,"University of British Columbia, School of Journalism, Writing, and Media"
Tamara Munzner,2021,20,University of British Columbia
Yating Lin,2021,7,"MOEKLINNS Lab, Xi 'an Jiaotong University"
Kamkwai Wong,2021,7,Hong Kong University of Science and Technology
Yong Wang,2021,7,Hong Kong University of Science and Technology
Rong Zhang,2021,7,Hong Kong University of Science and Technology
Bo Dong,2021,7,"National Engineering Lab of Big Data Analytics, Xi'an Jiaotong University"
Huamin Qu,2021,7,Hong Kong University of Science and Technology
Qinghua Zheng,2021,7,"MOEKLINNS Lab, Xi 'an Jiaotong University"
Wenchao Li,2020,5,The Hong Kong University of Science and Technology
Yun Wang,2020,5,Microsoft Research Asia
Haidong Zhang,2020,5,Microsoft Research Asia
Huamin Qu,2020,5,The Hong Kong University of Science and Technology
Meng Xia,2020,7,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Min Xu,2020,7,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Chuan-en Lin,2020,7,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Ta Ying Cheng,2020,7,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Huamin Qu,2020,7,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Xiaojuan Ma,2020,7,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Meng Xia,2021,12,Hong Kong University of Science and Technology
Reshika Palaniyappan Velumani,2021,12,Hong Kong University of Science and Technology
Yong Wang,2021,12,Hong Kong University of Science and Technology
Huamin Qu,2021,12,Hong Kong University of Science and Technology
Xiaojuan Ma,2021,12,Hong Kong University of Science and Technology
Ben Shneiderman,2020,149,"University of Maryland, College Park, MD"
Gennady L. Andrienko,2020,31,"Fraunhofer, Institute IAIS, Germany"
Natalia V. Andrienko,2020,31,"Fraunhofer, Institute IAIS, Germany"
Steven Mark Drucker,2020,31,Microsoft Res.
Jean-Daniel Fekete,2020,31,"Inria, France"
Danyel Fisher,2020,31,Honeycomb
Stratos Idreos,2020,31,"Harvard University, Cambridge#TAB#"
Tim Kraska,2020,31,Massachusetts Institute of Technology
Kwan-Liu Ma,2020,31,"University of California, Davis"
Jock D. Mackinlay,2020,31,Visualization and Interface Design Innovation
Antti Oulasvirta,2020,31,Tableau Research
Tobias Schreck,2020,31,"Aalto University,"
Heidrun Schumann,2020,31,"Graz Univ. of Technol., Graz#TAB#"
Michael Stonebraker,2020,31,"University of Rostock,  Germany"
David Auber,2020,31,Massachusetts Institute of Technology
Nikos Bikakis,2020,31,Laboratoire Bordelais de Recherche en Informatique
Panos K. Chrysanthis,2020,31,University of Ioannina
George Papastefanatos,2020,31,University of Pittsburgh
Mohamed A. Sharaf,2020,31,"ATHENA - Research and Innovation Center in Information, Communication and Knowledge Technologies"
Guoliang Li,2020,31,United Arab Emirates University
Keshav Dasu,2021,7,UC Davis
Kwan-Liu Ma,2021,7,UC Davis
Joyce Ma,2021,7,The Exploratorium
Jennifer Frazier,2021,7,The Exploratorium
Xumeng Wang,2022,4,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, Zhejiang, China"
Chris Bryan,2022,4,"Arizona State University, Phoenix, AZ, USA"
Yiran Li,2022,4,"University of California, Davis, CA, USA"
Rusheng Pan,2022,4,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, Zhejiang, China"
Yanling Liu,2022,4,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, Zhejiang, China"
Wei Chen,2022,4,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, Zhejiang, China"
Kwan-Liu Ma,2022,4,"University of California, Davis, CA, USA"
Qianwen Wang,2022,17,"Harvard University, Cambridge, MA, USA"
Zhutian Chen,2022,17,"University of California San Diego, La Jolla, CA, USA"
Yong Wang,2022,17,"Singapore Management University, Singapore, Singapore"
Huamin Qu,2022,17,"Hong Kong University of Science and Technology, Hong Kong"
Po-Ming Law,2021,6,"Georgia Institute of Technology, United States"
Leo Yu-Ho Lo,2021,6,"Department of Computer Science and Engineering The Hong Kong University of Science and Technology, China"
Alex Endert,2021,6,"Georgia Institute of Technology, United States"
John Stasko,2021,6,"School of Interactive Computing Georgia Institute of Technology, United States"
Huamin Qu,2021,6,"Department of Computer Science and Engineering The Hong Kong University of Science and Technology, China"
Jianping Kelvin Li,2020,5,"Univ Calif Davis, Davis, CA 95616 USA"
Shenyu Xu,2020,5,"Univ Calif Davis, Davis, CA 95616 USA"
Yecong (Chris) Ye,2020,5,"Univ Calif Davis, Davis, CA 95616 USA"
Kwan-Liu Ma,2020,5,"Univ Calif Davis, Davis, CA 95616 USA"
Chris Bryan,2020,3,"School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, United States"
Aditi Mishra,2020,3,"School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, United States"
Hidekazu Shidara,2020,3,"Department of Computer Science, University of California, Davis, United States"
Kwan-Liu Ma,2020,3,"Department of Computer Science, University of California, Davis, United States"
Xinhuan Shu,2021,7,"Hong Kong Univ Sci & Technol, Dept Comp Sci & Engn, Hong Kong, Peoples R China"
Jiang Wu,2021,7,"Zhejiang Univ, State Key Lab Cad & CG, Hangzhou, Peoples R China"
Xinke Wu,2021,7,"Zhejiang Univ, State Key Lab Cad & CG, Hangzhou, Peoples R China"
Hongye Liang,2021,7,"Zhejiang Univ, State Key Lab Cad & CG, Hangzhou, Peoples R China"
Weiwei Cui,2021,7,"Microsoft Res Asia, Beijing, Peoples R China"
Yingcai Wu,2021,7,"Zhejiang Lab, Hangzhou, Peoples R China"
Huamin Qu,2021,7,"Hong Kong Univ Sci & Technol, Dept Comp Sci & Engn, Hong Kong, Peoples R China"
Aoyu Wu,2021,16,"Department of Computer Science and Engineering Hong Kong University of Science and Technology, China"
Liwenhan Xie,2021,16,"Hong Kong University of Science and Technology, China"
Bongshin Lee,2021,16,"Microsoft Research, United States"
Yun Wang,2021,16,"Microsoft Research Asia, China"
Weiwei Cui,2021,16,"Microsoft Research Asia, China"
Huamin Qu,2021,16,"Department of Computer Science and Engineering The Hong Kong University of Science and Technology, China"
Qi Wu,2020,0,"University of California, Davis, United States"
Tyson Neuroth,2020,0,"University of California, Davis, United States"
Oleg Igouchkine,2020,0,"University of California, Davis, United States"
Aditya Konduri,2020,0,"Indian Institute of Science, India"
Jacqueline H. Chen,2020,0,"Sandia National Laboratories, United States"
Kwan-Liu Ma,2020,0,"University of California, Davis, United States"
Haotian Li,2021,31,"Department of Computer Science and Engineering The Hong Kong University of Science and Technology, China"
Min Xu,2021,31,"Department of Computer Science and Engineering The Hong Kong University of Science and Technology, China"
Yong Wang,2021,31,"School of Information Systems Singapore Management University, Singapore"
Huan Wei,2021,31,"Department of Computer Science and Engineering The Hong Kong University of Science and Technology, China"
Huamin Qu,2021,31,"Department of Computer Science and Engineering The Hong Kong University of Science and Technology, China"
Lin-Ping Yuan,2022,13,"Hong Kong University of Science and Technology, Hong Kong"
Ziqi Zhou,2022,13,"University of Waterloo, Waterloo, ON, Canada"
Jian Zhao,2022,13,"University of Waterloo, Waterloo, ON, Canada"
Yiqiu Guo,2022,13,"Xi'an Jiaotong University, Xi'an, China"
Fan Du,2022,13,"Adobe Research, San Jose, CA, USA"
Huamin Qu,2022,13,"Hong Kong University of Science and Technology, Hong Kong"
Michael Oppermann,2020,8,"Univ British Columbia, Dept Comp Sci, Vancouver, BC, Canada"
Tamara Munzner,2020,8,"Univ British Columbia, Dept Comp Sci, Vancouver, BC, Canada"
Lin-Ping Yuan,2022,0,"Hong Kong University of Science and Technology, Hong Kong"
Wei Zeng,2022,0,"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, Guangdong, China"
Siwei Fu,2022,0,"Zhejiang Lab, Hangzhou, China"
Zhiliang Zeng,2022,0,"Chinese University of Hong Kong, Hong Kong"
Haotian Li,2022,0,"Hong Kong University of Science and Technology, Hong Kong"
Chi-Wing Fu,2022,0,"Chinese University of Hong Kong, Hong Kong"
Huamin Qu,2022,0,"Hong Kong University of Science and Technology, Hong Kong"
Namitha V. Benjamin,2021,0,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Robert D. Boutin,2021,0,"Stanford Univ, Dept Radiol, Sch Med, Stanford, CA 94305 USA"
Abhijit J. Chaudhari,2021,0,"Univ Calif Davis, Dept Radiol, Sacramento, CA 95817 USA"
Kwan-Liu Ma,2021,0,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Arjun Srinivasan,2021,18,"Tableau Research, United States"
Nikhila Nyapathy,2021,18,"Georgia Institute of Technology, United States"
Bongshin Lee,2021,18,"Microsoft Research, United States"
Steven Drucker,2021,18,"Microsoft Research, United States"
John Stasko,2021,18,"School of Interactive Computing Georgia Institute of Technology, United States"
Yifang Wang,2022,7,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China"
Hongye Liang,2022,7,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China"
Xinhuan Shu,2022,7,"Hong Kong University of Science and Technology, Hong Kong"
Jiachen Wang,2022,7,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China"
Ke Xu,2022,7,"New York University, New York, NY, USA"
Zikun Deng,2022,7,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China"
Cameron Campbell,2022,7,"Hong Kong University of Science and Technology, Hong Kong"
Bijia Chen,2022,7,"Renmin University of China, Beijing, China"
Yingcai Wu,2022,7,"State Key Lab of CAD&CG, Zhejiang University, Hangzhou, China"
Huamin Qu,2022,7,"Hong Kong University of Science and Technology, Hong Kong"
Kwan-Liu Ma,2021,0,"University of California at Davis, United States"
Ben Shneiderman,2021,5,"University of Maryland, United States"
Xuanwu Yue,2021,4,"Sinovat Ventures AI Inst, Beijing, Peoples R China"
Qiao Gu,2021,4,"Carnegie Mellon Univ, Robot Inst, Pittsburgh, PA 15213 USA"
Deyun Wang,2021,4,"Chinese Acad Sci, Inst Software, Beijing, Peoples R China"
Huamin Qu,2021,4,"Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China"
Yong Wang,2021,4,"Singapore Management Univ, Sch Comp & Informat Syst, Singapore, Singapore"
Jürgen Bernard,2021,5,"Univ Zurich, Zurich, Switzerland"
Marco Hutter,2021,5,"Univ Stuttgart, Stuttgart, Germany"
